序号,城市,区县,乡/镇,乡/镇人口,村名,【村组基本信息】,,,,,,物资需求,,,,,,,,信息渠道,信息要点,备注,信息汇总人,信息更新时间
,,,,,,村组人员情况,水情,基础设施,,,交通道路,食品,,住所安置,,基本生活,,特殊人群,,,,,,
,,,,,,,,通讯,水,电,,种类/单位,"数量
规格",种类/单位,"数量
规格",种类/单位,"数量
规格",种类/单位,"数量
规格",,,,,
1,龙岩市,上杭县,临江镇,42932,镇中社区,,,,,,,,,,,,,,,,,,,
2,,,,,镇东社区,,,,,,,,,,,,,,,,,,,
3,,,,,英明社区,,,,,,,,,,,,,,,,,,,
4,,,,,天山社区,,,,,,,,,,,,,,,,,,,
5,,,,,镇南社区,,,,,,,,,,,,,,,,,,,
6,,,,,镇西社区,,,,,,,,,,,,,,,,,,,
7,,,,,东南社区,,,,,,,,,,,,,,,,,,,
8,,,临城镇,117171,城东社区,,,,,,,,,,,,,,,,,,,
9,,,,,城北社区,,,,,,,,,,,,,,,,,,,
10,,,,,城西社区,,,,,,,,,,,,,,,,,,,
11,,,,,城南社区,,,,,,,,,,,,,,,,,,,
12,,,,,金山社区,,,,,,,,,,,,,,,,,,,
13,,,,,石砌村,,,,,,,,,,,,,,,,,,,
14,,,,,白玉村,,,,,,,,,,,,,,,,,,,
15,,,,,古石村,,,,,,,,,,,,,,,,,,,
16,,,,,九州村,,,,,,,,,,,,,,,,,,,
17,,,,,玉女村,,,,,,,,,,,,,,,,,,,
18,,,,,新塘村,,,,,,,,,,,,,,,,,,,
19,,,,,宫桥村,,,,,,,,,,,,,,,,,,,
20,,,,,水西村,,,,,,,,,,,,,,,,,,,
21,,,,,富古村,,,,,,,,,,,,,,,,,,,
22,,,,,西陂村,,,,,,,,,,,,,,,,,,,
23,,,,,西郊村,,,,,,,,,,,,,,,,,,,
24,,,,,西南村,,,,,,,,,,,,,,,,,,,
25,,,,,土埔村,,,,,,,,,,,,,,,,,,,
26,,,,,黄竹村,,,,,,,,,,,,,,,,,,,
27,,,,,龙翔村,,,,,,,,,,,,,,,,,,,
28,,,,,璜岗村,,,,,,,,,,,,,,,,,,,
29,,,,,六甲村,,,,,,,,,,,,,,,,,,,
30,,,,,上登村,,,,,,,,,,,,,,,,,,,
31,,,,,新丰村,,,,,,,,,,,,,,,,,,,
32,,,,,同康村,,,,,,,,,,,,,,,,,,,
33,,,中都镇,17352,永联村,,,,,,,,,,,,,,,,,,,
34,,,,,富光村,,,,,,,,,,,,,,,,,,,
35,,,,,长徐村,,,,,,,,,,,,,,,,,,,
36,,,,,军联村,組織人員搜救，消防武警已到達，道路清障,,,,,,,,,,,,,,bilibili,,,康子,6/19/24
37,,,,,陈和村,組織人員搜救，消防武警已到達，道路清障,,,,,,,,,,,,,,bilibili,,,康子,6/19/24
38,,,,,田背村,組織人員搜救，消防武警已到達，道路清障,,,,,,,,,,,,,,bilibili,,,康子,6/19/24
39,,,,,罗溪村,,,,,,,,,,,,,,,,,,,
40,,,,,蛟腾村,,,,,,,,,,,,,,,,,,,
41,,,,,兴坊村,,,,,,,,,,,,,,,,,,,
42,,,,,饶坊村,,,,,,,,,,,,,,,,,,,
43,,,,,亲睦村,,,,,,,,,,,,,,,,,,,
44,,,,,由安村,,,,,,,,,,,,,,,,,,,
45,,,,,古坊村,,,,,,,,,,,,,,,,,,,
46,,,,,睦邻村,,,,,,,,,,,,,,,,,,,
47,,,,,都康村,,,,,,,,,,,,,,,,,,,
48,,,,,古基村,,,,,,,,,,,,,,,,,,,
49,,,,,瑞香村,,,,,,,,,,,,,,,,,,,
50,,,,,黄店村,,,,,,,,,,,,,,,,,,,
51,,,,,仙村村,,,,,,,,,,,,,,,,,,,
52,,,,,复兴村,,,,,,,,,,,,,,,,,,,
53,,,蓝溪镇,19930,沈田村,,,,,,,,,,,,,,,,,,,
54,,,,,湖里村,,,,,,,,,,,,,,,,,,,
55,,,,,歧滩村,,,,,,,,,,,,,,,,,,,
56,,,,,梅永村,,,,,,,,,,,,,,,,,,,
